Reya Dawnbringer,10E,「在我答应之前，你还没死。」
"Kamahl, Pit Fighter",10E,在自由近乎失落之时，强壮心灵将挺身夺回。
Arcanis the Omnipotent,10E,「甭费心打探我的来历宗族或八代远祖。 瞧瞧我在死斗坑的战绩，就可以下赌注了。」
"Squee, Goblin Nabob",10E,"「有些精灵是消耗品。 有些则根本摆脱不掉。 但他两者都是～摆脱不掉的消耗品！」
～史塔克"
Ascendant Evincar,10E,寇维克斯的灵魂深陷天使诅咒，英雄气概沦入万丈黑暗。
Platinum Angel,10E,心中埋藏着不朽的秘密。
Streetbreaker Wurm,GPT,欧佐夫麾下的某个工程组，其唯一任务就是重建亚龙行迹上的房舍。 业绩差的时候，他们便付钱请葛加理将亚龙诱出地表。
Giant Solifuge,GPT,"「我们对每种生命都抱持敬意，但对这种的敬意可得隔着一段距离。」
～瑟雷尼亚护林兵曼多"
Sacred Mesa,TSB,"「别去呀，别去／除非你可展翼飞翔，除非你能振蹄奔跑。」
～费米瑞甫歌谣「太阳之歌」"
Valor,TSB,"「裂隙逐渐张开，外壳为之碎裂，骁勇从此遍布大地。」
～诸始经"
Dandan,TSB,"「今天渔获不少。 明天得补充一批新的船员了。」
～渔船船长法索．奥摩沙的日志"
Tendrils of Corruption,TSP,"「即使沼泽也需要养分。 我们将为其提供，而沼泽也将支持我们以为回报。」
～黯刻德鲁伊易季司"
Stormscape Familiar,TSB,岚景院的学徒在升格为大师以前，都必须亲手养育一只猫头鹰。
Sengir Autocrat,TSB,"「这工作吃力不讨好，还随时得准备赔上性命。」
～无情的艾隆"
Lord of Atlantis,TSB,身为战略专家，亚特兰提斯领主只要临场督领，便可使人民奋勇作战。
"Akroma, Angel of Wrath",TSB,「无休， 无情， 无忌。」
Orgg,TSB,他比他所想的要大。
Essence Sliver,TSB,即使会以欧塔利亚所有他族为代价，裂片妖的生存意志依然强烈。
Watcher Sliver,TSP,"「我窥探他们许久，不断地漂泊、监视～这是为何？ 因为我担心他们正监视着我们。」
～安罗的尤纳"
Scragnoth,TSB,他没有智能，只有反智的能力。
Whispers of the Muse,TSB,"「我紧随着她的歌声，却发现那竟是丧曲。」
～寇维克斯"
Foriysian Interceptor,TSP,佛绿耶斯正处时间裂缝的中心，必须同时对抗新仇与旧敌。
Flowstone Channeler,TSP,液石在大魔将死后变得更加乖戾，也成为不顾后果的法师之力量来源。
Pull from Eternity,TSP,"想赢过龙，最好是在他们孵出来之前。
～费米瑞甫格言"
Mana Skimmer,TSP,他们横越法术力枯竭的荒野，寻觅丰沛大地。
Wall of Roots,TSB,智者有时会将法术织入活的植物中；随着植物成长，法术也跟着壮大。
Kobold Taskmaster,TSB,工头晓得一般的鬼崽基本上没救了。
Auratog,TSB,灵气阿托格最爱吃守护自己的灵气。
Arcane Spyglass,DST,它能突破时间的距离，而非空间的远近。
Witch-Maw Nephilim,GPT,醒转时，他夷平山腰以辟行路。
Dune-Brood Nephilim,GPT,醒转时，他肇生万千以彰降临。
Ink-Treader Nephilim,GPT,醒转时，世界之镜仅映照黑暗。
Yore-Tiller Nephilim,GPT,醒转时，地虫应其召唤而唱和。
Glint-Eye Nephilim,GPT,醒转时，大地因其行迹而颤抖。
Mizzium Transreliquat,GPT,"「这是什么？ 嗯. . . 你要他是什么？」
～伊捷修补匠裘巴"
Wildsize,GPT,尺寸变成两倍，体味变成四倍。
Gruul War Plow,GPT,"「控制方向的东西？！ 要拿来干么？ 扯下来，削尖，扎在前面就好了！」
～古鲁犁具大师克坦克"
Poisonbelly Ogre,GPT,有人说这是析米克的失败实验品，其它人则认为是葛加理的造物。 两个公会都把关系撇清，却又私下研究其特异毒性。
Freewind Equenaut,DIS,与她对抗，便将挨其飞蹄。  与她远离，便将受其飞箭。
Psychic Possession,DIS,「你会为我们双方着想！」
Cackling Flames,DIS,"「我喜欢跟晚餐找点乐子。」
～拉铎司"
Mistral Charger,DIS,有些天马脱离大群，情愿随风自由翱翔。
Flash Foliage,DIS,"「此类植株极富韧性，只要有颗尘埃可生根，就能快速成长。」
～析米克研究纪录"
Haazda Shield Mate,DIS,哈资达的盾牌不问对象，自由人与入会者均可受其庇护。
Ratcatcher,DIS,对贴近地面的鼻子来说，食人魔的逼人体臭闻起来像是高级酸奶干酪。
Utvara Scalper,DIS,风将他带到哪，他就打到哪。
Biomantic Mastery,DIS,"「藉由此法，就能藉由脉络意识看透一切：各个生命就如地图，能指引你通往更高深的知识。」
～莫秘·维，《生体工法》 第I部"
Evil Eye of Orms-by-Gore,TSB,恐惧的大道是通往败北的快捷方式。
Pillar of the Paruns,DIS,此塔座落于十方势力签署十会盟之地，不但是过往的纪念碑，也是现今掌权者的座右铭。
Goblin Snowman,TSB,"「人多力量大？ 没错。」
～精灵战术家依部．哈夫哈特"
