Reya Dawnbringer,10E,“No mueres hasta que yo lo permito.”
"Kamahl, Pit Fighter",10E,"Cuando la libertad parece perdida, se levantan grandes almas para recobrarla."
Arcanis the Omnipotent,10E,"“No te preocupes por mi origen, mi raza, o mis ancestros. Fíjate mi historial en los fosos y haz tu apuesta.”"
"Squee, Goblin Nabob",10E,"“Algunos trasgos son sacrificables. Algunos es imposible librarse de ellos. Pero él es ambas cosas, ¡al mismo tiempo!”
—Starke"
Ascendant Evincar,10E,"Con su alma atrapada por la maldición de un ángel, Cróvax convirtió el heroísmo en su sombra más oscura."
Platinum Angel,10E,En su corazón descansa el secreto de la inmortalidad.
Streetbreaker Wurm,GPT,"Los orzhov tienen una unidad de construcción cuyo único trabajo es reconstruir los escombros que dejan atrás las sierpes. Cuando el negocio anda mal, le pagan a los carnomantes golgari para que atraigan a las sierpes a la superficie."
Giant Solifuge,GPT,"“Respetamos todas las formas de vida, pero esta en particular la respetamos desde una distancia prudencial.”
—Mandor, explorador selesnya"
Sacred Mesa,TSB,"“No vayas allí, no vayas / si no vuelas con alas, si no tienes cascos.”
—“Canto al Sol”, canción femeref"
Valor,TSB,"“Las grietas se ensancharon, el caparazón se desmoronó, y el Valor se esparció por toda la tierra.”
—#Pergamino del comienzo#"
Dandan,TSB,"“Hoy buena pesca. Mañana comienzo a buscar nueva tripulación.”
—Diario de a bordo de Faysal al-Mousa, capitán de pesquero"
Tendrils of Corruption,TSP,"“Hasta los pantanos necesitan sustento. Se lo daremos, y ellos a cambio nos darán sustento a nosotros.”
—Ezrith, druida de las Horas Sombrías"
Stormscape Familiar,TSB,Cada Aprendiz Escapatormenta debe criar y entrenar un búho antes de conseguir el rango de maestro.
Sengir Autocrat,TSB,"“Un trabajo ingrato, que además es una sentencia de muerte.”
—Eron el Implacable"
Lord of Atlantis,TSB,"Siendo un maestro en tácticas, el Señor de la Atlántida hace a su gente osada en la batalla meramente con llegar a guiarlos."
"Akroma, Angel of Wrath",TSB,“Sin descanso. Sin misericordia. Sin importar lo que pase.”
Orgg,TSB,Es más grande de lo que él mismo cree.
Essence Sliver,TSB,"Los fragmentados sobrevivirían, incluso a costa de todas las demás criaturas en Otaria."
Watcher Sliver,TSP,"“Los he espiado, observando y vagando, pero ¿buscando qué? Temo que nos observen.”
—Yónat de Amrou"
Scragnoth,TSB,No posee inteligencia; sólo contrainteligencia.
