Reya Dawnbringer,10E,« Vous ne mourrez pas sans mon consentement. »
"Kamahl, Pit Fighter",10E,"Quand la liberté menace de s’éteindre, de grands champions surgissent pour la raviver."
Arcanis the Omnipotent,10E,"« Ne vous attardez pas sur mon origine, ma race ou mes ancêtres. Comptez mes victoires dans les sangrahbas, et faites ensuite votre pari. »"
"Squee, Goblin Nabob",10E,"« Certains gobelins sont sacrifiables. D’autres, on ne parvient pas à s’en débarrasser. Lui, c’est les deux à la fois ! »
—Starke"
Ascendant Evincar,10E,"Son âme piégée par la malédiction d’un ange, Crovax fit de l’héroïsme son ombre la plus noire."
Platinum Angel,10E,Le secret de l’immortalité réside dans son cœur.
Streetbreaker Wurm,GPT,"Les Orzhov contrôlent une entreprise de construction qui se charge uniquement de la reconstruction après le passage des guivres. Quand les affaires vont mal, ils paient les carnomanciens golgari pour qu’ils attirent les guivres à la surface."
Giant Solifuge,GPT,"« Nous respectons toute forme de vie, mais celle-ci, nous la respectons à distance. »
—Mandor, ranger de Selesnya"
Sacred Mesa,TSB,"« Ne vas pas là-bas, n’y vas pas / à moins que tu ne voles avec des ailes, à moins que tu ne marches sur des sabots.  »
—« Chanson pour le Soleil », chanson fémeiref"
Valor,TSB,"« Les crevasses s’agrandirent, la coquille se fendit, et la Valeur se répandit sur la terre.  »
—#Le Parchemin des Commencements#"
Dandan,TSB,"« Bonne pêche aujourd’hui. Songer à remplacer l’équipage de demain.  »
—Faysal al-Mousa, capitaine pêcheur, journal de bord"
Tendrils of Corruption,TSP,"« Même les marais doivent s’alimenter. Nous leur donnerons pitance et en échange, ils nous nourriront. »
—Ezrith, druide des Heures sombres"
Stormscape Familiar,TSB,Chaque apprenti orageosophe doit élever et dresser un hibou avant d’atteindre le rang de maître.
Sengir Autocrat,TSB,"« Un travail ingrat, récompensé par la mort.  »
—Ehron l’Implacable"
Lord of Atlantis,TSB,"Le seigneur de l’Atlantide, dès qu’il monte en tête de ses armées, donne un courage redoublé à son peuple."
"Akroma, Angel of Wrath",TSB,« Pas de repos. Pas de pitié. Pas de questions.  »
Orgg,TSB,Il est plus grand qu’il ne pense.
Essence Sliver,TSB,"Les slivoïdes survivraient, quitte à détruire toute autre forme de vie sur Otaria."
Watcher Sliver,TSP,"« Je les ai espionnés, errant dans le monde, observant tout — Et que veulent-ils ? J’ai peur qu’ils nous guettent. »
—Yonat d’Amrou"
Scragnoth,TSB,"Il est trop bête et méchant pour se carrer, et encore plus pour se contrecarrer."
Whispers of the Muse,TSB,"« Je repris son chant sans savoir qu’il était funèbre »
—Crovax"
Foriysian Interceptor,TSP,"Foriys, point focal des failles temporelles, doit combattre des adversaires à la fois anciens et modernes."
