Reya Dawnbringer,10E,"“Du bist nicht tot, solange ich dem nicht zugestimmt habe.”"
"Kamahl, Pit Fighter",10E,"In Zeiten, in denen es keine Freiheit zu geben scheint, finden sich besondere Seelen, die sie zurückerobern."
Arcanis the Omnipotent,10E,"“Meine Herkunft, meine Rasse und meine Vorfahren brauchen dich nicht zu interessieren. Schau dir die Anzahl meiner Siege in den Gruben an und mach dann deinen Einsatz.”"
"Squee, Goblin Nabob",10E,"“Einige Goblins sind entbehrlich. Manche kann man einfach nicht loswerden. Aber für ihn gilt beides – gleichzeitig!”
—Starke"
Ascendant Evincar,10E,"Crovax, dessen Seele durch den Fluch eines Engels gefangen war, vereinigte Heldentum mit tiefstem Schatten."
Platinum Angel,10E,In seinem Herzen liegt das Geheimnis der Unsterblichkeit verborgen.
Streetbreaker Wurm,GPT,"Die Orzhov unterhalten eine Baukolonne, deren einzige Aufgabe es ist, hinter den Würmern herzuziehen und das wieder aufzubauen, was diese in Trümmern hinterlassen. Wenn das Geschäft schlecht geht, bezahlen sie Golgari-Carnomanten, um die Würmer an die Oberfläche zu locken."
Giant Solifuge,GPT,"“Wir respektieren alle Lebensformen, aber diese hier respektieren wir aus einer sicheren Entfernung.”
—Mandor, Selesnija-Waldläufer"
Sacred Mesa,TSB,"“Begebe dich nicht dorthin, gehe nicht  / solange du dich nicht auf Flügeln erhebst, solange du nicht auf Hufen gehst.“
—“Ode an die Sonne”, Lied der Femeref"
Valor,TSB,"“Die Risse weiteten sich, die Schale zerplatzte, und die Tapferkeit breitete sich im Land aus.”
—#Schriften der Schöpfung#"
Dandan,TSB,"“Habe heute einen guten Fang gemacht. Morgen muss ich mich allerdings um eine neue Crew kümmern.”
—Faysal al-Mousa, Kapitänslogbuch"
Tendrils of Corruption,TSP,"“Selbst Sümpfe brauchen Nahrung. Wir kümmern uns darum, und im Gegenzug ernähren sie uns.”
—Ezrith, Druide der Dunklen Stunden"
Stormscape Familiar,TSB,"Jeder Lehrling des Sturmpfads muss eine Eule aufziehen und trainieren, bevor er in den Rang eines Meisters aufsteigen kann."
Sengir Autocrat,TSB,"“Eine undankbare Arbeit ist es — und nebenbei noch die Todesstrafe.”
—Eron der Unbarmherzige"
Lord of Atlantis,TSB,"Der Herrscher von Atlantis ist als Taktiker so berüchtigt, dass seine bloße Anwesenheit seine Krieger stärker macht."
"Akroma, Angel of Wrath",TSB,“Keine Ruhepause. Keine Gnade. Egal was geschieht.”
Orgg,TSB,"Er ist größer, als er denkt."
Essence Sliver,TSB,"Die Remasuris würden überleben, und sei es auf Kosten jedes anderen Wesens auf Otaria."
Watcher Sliver,TSP,"“Ich habe sie beobachtetet, wie sie herumgezogen sind und Ausschau gehalten haben. Ich befürchte, sie interessieren sich für uns.”
—Yonat von Amrou"
Scragnoth,TSB,He! Das gilt nicht! —Franz
Whispers of the Muse,TSB,"“Ich folgte ihrem Lied und musste feststellen, dass es ein Trauermarsch war.”
—Crovax"
Foriysian Interceptor,TSP,"Rund um Foriys tun sich immer neue Risse im Zeitgefüge auf, so dass sich das Land gleichzeitig alter und neuer Gegner erwehren muss."
Flowstone Channeler,TSP,"Nachdem die Zeit der Evincare abgelaufen war, wurde der Schmelzstein unberechenbar und wild und damit zu einem perfekten Werkzeug für Magier, die eher verzweifelt als weise waren."
Pull from Eternity,TSP,"Drachen bekämpft man am Besten, bevor sie schlüpfen.
—Sprichwort der Femeref"
Mana Skimmer,TSP,Sie überqueren die manaleeren Einöden auf der Suche nach reicherem Land.
Wall of Roots,TSB,"Eines Tages verwoben die Weisen ihre Magie mit den Pflanzen — und als die Pflanzen wuchsen, wuchs auch die Magie."
Kobold Taskmaster,TSB,"Der Scherge weiß, dass es gegen einen Kobold kein Mittel hilft."
Auratog,TSB,"Der Auratog genießt es, seine Schutzzauber zu verspeisen."
Arcane Spyglass,DST,"Es überbrückt nicht räumliche Distanz, sondern zeitliche."
Witch-Maw Nephilim,GPT,"Als er erwachte, drückte er die Hügel platt, um sich seinen Weg zu bahnen."
Dune-Brood Nephilim,GPT,"Als er erwachte, gebar er namenlose Tausende, um seine Ankunft zu verkünden."
Ink-Treader Nephilim,GPT,"Als er erwachte, sah man in allen Spiegeln der Welt nur Dunkelheit."
Yore-Tiller Nephilim,GPT,"Als er erwachte, zischten alle Würmer der Erde ihm zur Begrüßung zu."
Glint-Eye Nephilim,GPT,"Als er erwachte, erschauderte die Welt unter dem Donner seiner Begierde."
Mizzium Transreliquat,GPT,"“Was es ist? Hmmm ... was #soll# es denn sein?”
—Juzba, Izzet-Bastler"
Wildsize,GPT,"Doppelte Größe, vierfacher Gestank."
Gruul War Plow,GPT,"“Ein Lenkmechanismus?! Wozu das? Reiß es aus, spitz es an, und befestige es vorne dran!”
—Ktank, Gruul-Pflugführer"
Poisonbelly Ogre,GPT,"Einige behaupten, er sei ein fehlgeschlagenes Experiment der Simic, andere meinen, er sei ein Erzeugnis der Golgari. Beide Gilden leugnen jegliche Verantwortlichkeit, untersuchen aber im Geheimen die seltsame Giftigkeit."
Freewind Equenaut,DIS,"Wer sich ihr entgegenstellt, bekommt die Hufe ihres Reittiers zu spüren.  Wer sie ignoriert, bekommt einen Pfeil in die Rippen."
Psychic Possession,DIS,“Du wirst für uns beide denken müssen.”
Cackling Flames,DIS,"“Ich genieße beim Abendessen gerne etwas Unterhaltung nebenbei.”
—Rakdos"
Mistral Charger,DIS,"Manche Himmelsstuten brechen aus der donnernden Herde aus, um durch die Winde zu galoppieren."
Flash Foliage,DIS,"“Diese anspruchslose Vegetation benötigt nur ein kleinstes Staubkorn, in das sie ihre Wurzeln schlagen kann, und wächst dann unglaublich schnell.”
—Notizen von Simic-Forschern"
Haazda Shield Mate,DIS,"Der Schild der Haazda ist breit genug, um sowohl die Freien als auch die Angehörigen der Gilden zu beschützen."
Ratcatcher,DIS,"Der giftige Gestank eines Ogers wird von Nasen, die dicht am Boden schnuppern, ähnlich hoch geschätzt wie der von Kashkavalkäse."
Utvara Scalper,DIS,"Er schürt den Krieg, wo auch immer der Wind ihn hinträgt."
Biomantic Mastery,DIS,"“Du kannst es bereits in den kleinsten Adern spüren, dass alles Leben zu höheren Bewusstseinsebenen führt.”
—Momir Vig, #Biomagie,# Band I"
Evil Eye of Orms-by-Gore,TSB,Der Weg der Angst ist die kürzeste Route zum Sieg.
