Reya Dawnbringer,10E,"“Ты не умрешь, пока я не дам на это согласия”."
"Kamahl, Pit Fighter",10E,"В тяжелые времена, когда свобода кажется утраченой навсегда, рождаются великие души, способные её вернуть."
Arcanis the Omnipotent,10E,"“Не задавайтесь вопросами о том, кто я, откуда и какой крови. Проверьте мою репутацию бойца, и делайте ставки”."
"Squee, Goblin Nabob",10E,"“Некоторых гоблинов можно использовать и забыть. От некоторых, наоборот, невозможно избавиться. Этот же — и то, и другое, в одном лице!”
— Старк"
Ascendant Evincar,10E,"Когда проклятие ангела поработило душу Кровакса, его героизм стал зловещей тенью."
Platinum Angel,10E,Секрет бессмертия скрыт в ее сердце.
Streetbreaker Wurm,GPT,"Дому Орзов принадлежит строительная бригада, чье единственное предназначение — чинить разрушения, нанесенные вурмами. Когда дела идут вяло, Дом Орзов платит карномантам Голгари, чтобы те подманили вурмов поближе к поверхности."
Giant Solifuge,GPT,"“Мы уважаем все формы жизни, но эту мы предпочитаем уважать на расстоянии”.
— Мандор, лесничий Селезнии"
Sacred Mesa,TSB,"«Не ходи туда, не ходи / если только не на крыльях ты паришь, если только не на копытах ты идешь», — песня Солнцу Фемерефа"
Valor,TSB,"«Трещины расширились и оболочка рассыпалась, и Доблесть распостранилась по земле», —
#Скролл Начала#"
Dandan,TSB,"«Хороший улов. Надо бы завтра начать замену команды», — Фейсал ал-Моуза, капитан рыбаков, судовой журнал"
Tendrils of Corruption,TSP,"«Даже болота нуждаются в пропитании. Мы дадим им это, а взамен они защитят нас»,
—Эзрит, Друид Темных времен"
Stormscape Familiar,TSB,Каждый Штормовой помощник должен взрастить и натренировать сову до достижения ранга мастера.
Sengir Autocrat,TSB,"«Неблагодарная работа, да  и к тому же смертный приговор», — Эрон Непреклонный"
Lord of Atlantis,TSB,"Лорд Атлантиды, искусный тактик, делает свой народ храбрым, просто появляясь во главе войска. "
"Akroma, Angel of Wrath",TSB,«Без отдыха. Без жалости. Несмотря ни на что».
Orgg,TSB,"Он больше, чем он думает."
Essence Sliver,TSB,Щепки будут жить даже за счет всех остальных существ Отарии.
Watcher Sliver,TSP,"«Я шпионил за ними, ползал и подсматривал — но зачем? Боюсь, они наблюдают за нами»,
—Йонат из Амру"
Scragnoth,TSB,"Оно не обладает интеллектом, только анти-интеллектом."
Whispers of the Muse,TSB,"«Я следовал за ее песней, пока не понял, что она погребальная», — Кровакс"
Foriysian Interceptor,TSP,"В фокусе временного разлома Форисианцы столкнулись и с прежними, и с новыми врагами."
Flowstone Channeler,TSP,"После ухода очевидности в основание легли эксцентричность и дикость — источники силы для магов скорее ненадежные, чем разумные."
Pull from Eternity,TSP,"«Лучше захватить драконов перед тем как они вылупятся»,
—Фемерефская поговорка"
Mana Skimmer,TSP,Они пересекают безмановые болота в поисках богатых земель.
Wall of Roots,TSB,Иногда мудрецы вплетали свою магию в живые растения; по мере их роста росла и магия.
Kobold Taskmaster,TSB,"Десятник знает, что обычного кобольда ничто не спасет."
Auratog,TSB,"Ауратог любит кушать то, что под его опекой."
Witch-Maw Nephilim,GPT,"При пробуждении он раздробил склоны холмов, чтобы расчистить себе путь."
Dune-Brood Nephilim,GPT,"При пробуждении он породил тысячи безымянных существ, возвестивших о его прибытии."
Ink-Treader Nephilim,GPT,При его пробуждении в зеркалах мира отразилась лишь тьма.
Yore-Tiller Nephilim,GPT,При его пробуждении земляные черви дружно зашипели в едином хоре приветствия.
Glint-Eye Nephilim,GPT,При его пробуждении равнина сотряслась от грохота его вожделений.
Mizzium Transreliquat,GPT,"“Это что такое? Ээээ . . . а чем вы #хотите# это видеть?”
— Юзба, мыслитель Иззетов"
Wildsize,GPT,"Размер больше в два раза, зато вонь — в четыре."
Gruul War Plow,GPT,"“Рулевой механизм? Это еще зачем? Выдерните его, заострите и нацепите на перед!”
— Ктанк, водитель боевого плуга"
Poisonbelly Ogre,GPT,"Одни утверждают, что это провалившийся эксперимент Симиков, а другие считают, что его создали Голгари. Обе гильдии отрицают свою причастность, а тем временем в тайне изучают его ядовитые свойства."
Freewind Equenaut,DIS,Только встань на ее пути — и почувствуешь на себе копыта ее скакуна.  Не обращай на нее внимания — и получишь жалящий укол ее стрелы.
Psychic Possession,DIS,“Ты будешь думать за нас обоих!”
Cackling Flames,DIS,"“Я люблю позабавиться за обедом”.
—Ракдос"
Mistral Charger,DIS,Иногда небесные скакуны отбиваются от грозовых табунов и вольно носятся с ветрами.
Flash Foliage,DIS,"“Эта неприхотливая зелень укореняется в пылинке, но растет с поразительной быстротой”.
—Исследовательские записки Симиков"
Haazda Shield Mate,DIS,"Широк щит Хаазды: он защищает и тех, кто в гильдиях, и тех, кто вне их."
Ratcatcher,DIS,"Для носов, что держатся поближе к земле, ядовитая вонь огра — все равно, что наилучший кашкавальский сыр."
Utvara Scalper,DIS,"Куда бы ни принес его ветер, он везде начинает войну."
Biomantic Mastery,DIS,"“Взгляни глубже и проникни в суть того, что вся жизнь — это карта, на которой нанесен путь к великому знанию.”
—Момир Виг, #Биомантика,# том I"
Evil Eye of Orms-by-Gore,TSB,Шоссе страха — самая короткая дорога к поражению.
Pillar of the Paruns,DIS,"Эта башня была построена на той самой земле, где Десятеро подписали Договор гильдий. Она памятник прошлому и напоминание нынешним властям."
Goblin Snowman,TSB,"«Количественное преимущество? Ага!» — Иб Хафхарт, тактик гоблинов"
Spell Snare,DIS,"В каждой культуре есть свои несчастливые числа. В городе, где вы либо одни в толпе, либо вас пыряют ножом в спину, самое худшее число — это два."
Swift Silence,DIS,"“Быть может, в этом мире нет спокойствия, но в моем присутствии вы #познаете# тишину.”
—Августин IV"
Dauthi Slayer,TSB,"«У них ножи для каждой души», — Лина, посланник Солтари"
Flying Men,TSB,"Саффия хлопнула в ладоши, и двадцать летунов появились рядом с ней — все отличные воины."
Vigean Hydropon,DIS,Плоды магии корнями уходят в науку.
Ghost Ship,TSB,"«Фантомный челн рассек грозу, когда молния бросила тень на поле боя», — Мирелль Гетане #Валериада#"
Hail Storm,TSB,"«Если они не выдержат град, то им лучше оставаться дома», — Арна Кеннеруд, небесный капитан"
Browbeat,TSB,"«Даже угроза властью дает власть», — Джеска, адепт войны."
Stalking Vengeance,DIS,"Нечто скитается по местам, где происходят убийства, вынюхивая вину убийц и преследуя их на железных лапах."
Bond of Agony,DIS,"Ракдосам нет равных, когда надо изобрести новые орудия пыток, в которых можно “страдать” бок о бок со своими жертвами."
Blessing of the Nephilim,DIS,"“Власть нефилимов росла еще до того, как был заложен первый камень или был рожден первый эльф. Да будет эта сила распространяться моими руками.”"
Carom,DIS,Сила ее врага — ее сила.
