Streetbreaker Wurm,GPT,"Os Orzhov possuem uma indústria de construção cujo único negócio é a reconstrução dos destroços deixados pelo despertar dos vormes. Quando os negócios estão em baixa, eles pagam aos carnomantes Golgari para atrair os vormes para a superfície."
Giant Solifuge,GPT,"“Respeitamos todas as formas de vida, mas esta nós respeitamos de uma certa distância.”
—Mandor, patrulheiro Selesnya"
Sacred Mesa,TSB,"“Não vá lá, não vá / a menos que você se erga sob asas, a menos que você caminhe sobre patas.”
—“Canção para o Sol”, canção de Femeref"
Valor,TSB,"“As rachaduras se alargaram, a casca se partiu e Valor esparramou-se pela terra.”
—#Pergaminho dos Primórdios#"
Dandan,TSB,"“Boa pesca. Começar a substituir a tripulação amanhã.”
—Faysal al-Mousa, capitão pescador, diário"
Tendrils of Corruption,TSP,"“Até mesmo os pântanos precisam de sustento. Nós lhe daremos isso e, em retorno, eles nos sustentarão.”
—Ezrith, druida das Horas Sombrias"
Stormscape Familiar,TSB,"Antes de chegar a mestre, cada aprendiz de Stormscape tem que criar e treinar uma coruja."
Sengir Autocrat,TSB,"“Um trabalho ingrato, além de uma sentença de morte.”
—Eron, o Implacável"
Lord of Atlantis,TSB,"Um mestre da estratégia, o Senhor da Atlântida faz com que seu povo se engaje na batalha pelo simples fato de aparecer para liderá-los."
"Akroma, Angel of Wrath",TSB,“Sem descanso. Sem piedade. Não importa o que aconteça.”
Orgg,TSB,Ele é maior do que ele mesmo pensa.
Essence Sliver,TSB,"Os fractius sobreviverão, mesmo se isso custar a vida de todas as criaturas de Otaria."
Watcher Sliver,TSP,"“Eu os espionei, vagueando e observando — mas com que propósito? Tenho medo que eles nos procurem.”
—Yonat de Amrou"
Scragnoth,TSB,"Ele não possui inteligência, apenas contra-inteligência."
Whispers of the Muse,TSB,"“Eu segui sua música, apenas para descobrir que era uma nênia.”
—Crovax"
Foriysian Interceptor,TSP,"Um ponto focal para as fendas do tempo, Foriys luta simultaneamente com inimigos novos e antigos."
Flowstone Channeler,TSP,"Com o fim dos evincars, as rochafluentes tornaram-se instáveis e selvagens, uma fonte de poder para magos mais desesperados que sábios."
Pull from Eternity,TSP,"É melhor conquistar os dragões antes que comecem a chocar.
—Provérbio de Femeref"
Mana Skimmer,TSP,Elas atravessam desertos escassos de mana em busca de terras mais ricas.
Wall of Roots,TSB,"Às vezes, os sábios urdiam sua mágica em plantas vivas; conforme a planta crescia, também crescia a magia."
Kobold Taskmaster,TSB,O capataz sabe que não há cura para o kobold comum.
Auratog,TSB,O auratogue gosta de comer seus guardiões.
Witch-Maw Nephilim,GPT,"Quando despertou, demoliu as colinas para abrir seu caminho."
Dune-Brood Nephilim,GPT,"Quando acordou, desovou milhares incontáveis de mensageiros de sua chegada."
Ink-Treader Nephilim,GPT,"Quando ele acordou, os espelhos do mundo refletiram apenas escuridão."
Yore-Tiller Nephilim,GPT,"Quando ele despertou, os vormes da terra sibilaram em um coro de convocação."
Glint-Eye Nephilim,GPT,"Quando acordou, estremeceu o plano com o trovejar de seu desejo."
Mizzium Transreliquat,GPT,"“O que é? Bem . . . o que você #quer# que seja?”
—Juzba, latoeiro Izzet"
Wildsize,GPT,"Duas vezes o tamanho, quatro vezes o fedor."
Gruul War Plow,GPT,"“Instrumento de direção?! Para quê? Basta abri-lo, amolá-lo e empurrá-lo de volta ao front!”
—Ktank, lavrador mestre Gruul"
Poisonbelly Ogre,GPT,"Alguns dizem que é um experimento Simic fracassado, outros que é uma criação Golgari. Ambas as guildas negam sua responsabilidade, enquanto estudam secretamente sua estranha virulência."
Freewind Equenaut,DIS,"Confronte-a, e enfrentará os cascos de seu cavalo.  Ignore-a, e sentirá a pontada de sua flecha."
Psychic Possession,DIS,“Você vai pensar por nós dois!”
Cackling Flames,DIS,"“Gosto de um pouco de divertimento no meu jantar.”
—Rakdos"
Mistral Charger,DIS,Alguns cavalos celestes deixam a manada estrondosa para galopar livremente nos ventos da liberdade.
Flash Foliage,DIS,"“Esta modesta vegetação enraíza-se com apenas um punhado de terra, mas cresce incrivelmente rápido.”
— notas de pesquisa Simic"
Haazda Shield Mate,DIS,"O escudo de Haazda é abrangente, protegendo tanto os indivíduos livres quanto os membros das guildas."
Ratcatcher,DIS,O odor fétido e venenoso de um ogre é como um delicioso queijo Kashkaval para os narizes mais rasteiros ao chão.
Utvara Scalper,DIS,Ele inicia uma guerra onde quer que o vento o leve.
Biomantic Mastery,DIS,"“Olhe além, para a consciência vascular de que toda vida é um mapa para uma sabedoria superior.”
—Momir Vig, #Biomancia,# vol. I"
Evil Eye of Orms-by-Gore,TSB,A estrada do medo é o caminho mais curto para a derrota.
Pillar of the Paruns,DIS,"Construído no mesmo solo em que os Dez assinaram o Pacto das Guildas, a torre é um monumento ao passado e um lembrete de quem detém o poder no presente."
Goblin Snowman,TSB,"“Superioridade numérica? Exatamente.”
— Ib Halfheart, estrategista goblin"
Spell Snare,DIS,"Todas as culturas têm seus números azarentos. Em uma cidade na qual ou você está sozinho, ou em uma multidão ou levando uma punhalada nas costas, o número dois é o pior de todos."
Swift Silence,DIS,"“Este mundo pode não conhecer a paz, mas na minha presença você #irá# conhecer o silêncio.”
—Agostinho IV"
Dauthi Slayer,TSB,"“Eles possuem facas para todas as almas.”
—Lyna, emissário soltariano"
