Reya Dawnbringer,10E,“Tu non sei morto fino a che io non acconsento.”
"Kamahl, Pit Fighter",10E,"Nei periodi in cui la libertà sembra perduta, gli animi nobili si levano per reclamarla."
Arcanis the Omnipotent,10E,"“Non preoccuparti della mia origine, della mia razza o del mio lignaggio. Chiedi i miei risultati nell’arena e poi fai la tua scommessa.”"
"Squee, Goblin Nabob",10E,"“Alcuni goblin sono sacrificabili. Alcuni sono impossibili da eliminare. Ma lui è entrambe le cose. . . allo stesso tempo!”
—Starke"
Ascendant Evincar,10E,"Con l’anima intrappolata dalla maledizione di un angelo, Crovax distorse l’eroismo nella sua ombra più pura."
Platinum Angel,10E,Nel suo cuore si trova il segreto dell’immortalità.
Streetbreaker Wurm,GPT,"Gli Orzhov gestiscono un’unità edile dedicata unicamente a ricostruire sulle macerie lasciate dal passaggio dei wurm. Quando gli affari sono in calo, pagano i carnomanti Golgari per attirare in superficie i wurm."
Giant Solifuge,GPT,"“Rispettiamo tutte le forme di vita, ma questa preferiamo rispettarla a debita distanza.”
—Mandor, ranger di Selesnya"
Sacred Mesa,TSB,"“Non ti recare là, non andare / a meno di librarti con ali, o di camminare su zoccoli.”
—“Canto del Sole,” canzone Femeref"
Valor,TSB,"“Le crepe si allargarono, la roccia si frantumò e il Valore giunse sulla terra.”
—#Pergamena delle Origini#"
Dandan,TSB,"“Oggi fatta buona pesca. Domani sostituire uomini perduti.”
—Faysal al-Mousa, capitano di peschereccio, giornale di bordo"
Tendrils of Corruption,TSP,"“Anche le paludi hanno bisogno di nutrimento. Noi glielo daremo e, in cambio, esse ci nutriranno.”
—Ezrith, druido delle Ore Buie"
Stormscape Familiar,TSB,Tutti gli apprendisti Tempestologi devono allevare e addestrare un gufo prima di raggiungere il grado di maestri.
Sengir Autocrat,TSB,"“Un lavoro ingrato e una sentenza di morte, per di più.”
—Eron l’Implacabile"
Lord of Atlantis,TSB,"Maestro di tattica, il Signore di Atlantide rende coraggioso il proprio popolo in battaglia semplicemente con la propria presenza."
"Akroma, Angel of Wrath",TSB,“Nessun riposo. Nessuna pietà. Nessuna eccezione.”
Orgg,TSB,È più grosso di quanto egli stesso pensi.
Essence Sliver,TSB,"I Tramutanti sopravvivranno, anche a spese di ogni altra creatura di Otaria."
Watcher Sliver,TSP,"“Li ho spiati, vagando e osservando—ma per cosa? Temo che ci sorveglino.”
—Yonat di Amrou"
Scragnoth,TSB,"Non possiede alcuna intelligenza, solo un’anti-intelligenza."
Whispers of the Muse,TSB,"“Ho seguito il suo canto per poi scoprire che era un lamento funebre.”
—Crovax"
Foriysian Interceptor,TSP,"Un punto focale per gli squarci temporali, Foriys combatte contemporaneamente con nemici sia vecchi che nuovi."
Flowstone Channeler,TSP,"Con gli evincari spariti, mutaroccia divenne imprevedibile e selvaggia, una fonte di potere per i maghi più disperati che saggi."
Pull from Eternity,TSP,"È meglio sgominare i draghi prima che nascano.
—adagio Femeref "
Mana Skimmer,TSP,Attraversano lande desolate digiune di mana in cerca di terre più ricche.
Wall of Roots,TSB,"Talvolta i saggi infondono i loro incanti nelle piante viventi; e mentre queste crescono, così cresce in possanza la magia."
Kobold Taskmaster,TSB,Il Sorvegliante sa bene che non esiste pietà per i semplici Coboldi.
Auratog,TSB,L’auratog si diverte a divorare i suoi protetti.
Arcane Spyglass,DST,Non viola le leggi dello spazio bensì quelle del tempo.
Witch-Maw Nephilim,GPT,"Quando si svegliò, frantumò le colline per farsi strada."
Dune-Brood Nephilim,GPT,"Quando si svegliò, generò migliaia di araldi senza nome per annunciare il proprio arrivo."
Ink-Treader Nephilim,GPT,"Quando si svegliò, gli specchi del mondo riflessero solo oscurità."
Yore-Tiller Nephilim,GPT,"Quando si svegliò, i vermi della terra sibilarono in un coro di saluto."
Glint-Eye Nephilim,GPT,"Quando si svegliò, scosse il mondo con il fragore del proprio desiderio."
Mizzium Transreliquat,GPT,"“Cos’è? Um. . . cosa #vorresti# che fosse?”
—Juzba, riparatore Izzet"
Wildsize,GPT,"Dimensioni doppie, puzza quadrupla."
Gruul War Plow,GPT,"“Un apparato sterzante?! E a cosa serve? Strappalo via, affilalo e fissalo davanti!”
—Ktank, mastro aratore Gruul"
Poisonbelly Ogre,GPT,"Alcuni sostengono che sia un esperimento Simic fallito, altri che sia una creazione Golgari. Entrambe le gilde negano la propria responsabilità, ma in segreto ne studiano la strana virulenza."
Freewind Equenaut,DIS,Affrontala e assaggerai gli zoccoli del suo destriero.  Ignorala e assaggerai la punta della sua freccia.
Psychic Possession,DIS,“Tu penserai per entrambi!”
Cackling Flames,DIS,"“Mi piace un po’ d’intrattenimento con la mia cena.”
—Rakdos"
Mistral Charger,DIS,Alcuni destrieri celestiali abbandonano la mandria tonante per cavalcare liberi sui venti.
Flash Foliage,DIS,"“Questa vegetazione selvaggia attecchisce anche su un granello di polvere, ma cresce a una velocità incredibile.”
—Note di ricerca dei Simic"
Haazda Shield Mate,DIS,"Lo scudo degli Haazda è grande, così da proteggere sia le creature libere sia quelle gildate."
Ratcatcher,DIS,Il fetore velenoso di un ogre è come il miglior formaggio Kashkaval per i nasi che stanno più vicini al terreno.
Utvara Scalper,DIS,Semina la guerra ovunque lo porti il vento.
Biomantic Mastery,DIS,"“Guarda oltre, alla consapevolezza vascolare che tutta la vita è una mappa per una conoscenza superiore.”
—Momir Vig, #Biomanzia,# vol. I"
Evil Eye of Orms-by-Gore,TSB,La strada della paura è il percorso più breve per la sconfitta.
Pillar of the Paruns,DIS,"Costruita sullo stesso terreno in cui i Dieci firmarono il Patto delle Gilde, la torre è un monumento al passato e un simbolo di chi detiene il potere nel presente."
Goblin Snowman,TSB,"“La forza è nel numero? Certo.”
—Ib Mezzocuore, stratega goblin"
Spell Snare,DIS,"Ogni cultura possiede i propri numeri sfortunati. In una città in cui puoi essere solo, in mezzo a una folla o pugnalato alla schiena, due è il numero peggiore di tutti."
Swift Silence,DIS,"“Questo mondo potrà anche non conoscere la pace, ma in mia presenza tu #scoprirai# la quiete.”
—Augusto IV"
Dauthi Slayer,TSB,"“Hanno lame per ogni anima.”
—Lyna, emissario Soltari"
Flying Men,TSB,"Saffiyah batté le mani e al suo fianco apparvero venti uomini volanti, ciascuno ben addestrato nell’arte del combattimento."
Vigean Hydropon,DIS,"Frutti della magia, radici nella scienza."
Ghost Ship,TSB,"“La prua fantasma fendeva la tempesta come un fulmine proietta la sua lunga ombra sul campo di battaglia.”
—Mireille Gaetane,#La Valeriad#"
Hail Storm,TSB,"“Chi non sopporta la Grandine farà meglio a restare a casa.”
—Arna Kennerüd, Capitano dei Cieli"
Browbeat,TSB,"“Anche la minaccia del potere ha potere.”
— Jeska, guerriera provetta"
Stalking Vengeance,DIS,"Qualcosa si aggira per i luoghi di morte, annusando le colpe dei carnefici, seguendoli di soppiatto su zampe d’acciaio."
Bond of Agony,DIS,I Rakdos hanno un’abilità unica nel progettare strumenti di tortura che possono azionare mentre “soffrono” insieme alle loro vittime.
Blessing of the Nephilim,DIS,"“Quando ancora non era stata posata la prima pietra né era nato il primo bambino elfico, il potere del nephilim si stava riunendo. Che ora quel potere si diffonda attraverso le mie mani.”"
Carom,DIS,La forza del nemico è anche la sua.
Celestial Ancient,DIS,"“Pensavamo che le nuvole avessero lasciato il cielo stellato. Poi il cielo si mosse e all’orizzonte spuntarono le ali.”
—Josuri"
Might of the Nephilim,DIS,"“Manda un corriere a Via Latta ad informare che la consegna è stata. . . mmm. . . bloccata.”
—Bonmod, retroguardia della carovana"
Dread Slag,DIS,Un migliaio di fobie vennero assorbite dalla città e fuoriuscirono compatte da Rix Maadi.
Skullmead Cauldron,DIS,"Una volta provato, il gusto dell’idrocranio resta sul palato, marchio segreto della colpa di chi si abbandona a piaceri proibiti."
Bronze Bombshell,DIS,"“Ooh, come luccica! Toglietele le catene e portiamola con noi.”
—Ukl, predone Gruul, ultime parole"
Ocular Halo,DIS,"Mentre il soldato sogna, gli occhi fanno la guardia."
Grand Arbiter Augustin IV,DIS,"Il Giudice è uno strumento di verità, con una tale disciplina da poter dispensare la giustizia senza presunzione né rimorsi."
Flame-Kin War Scout,DIS,"“I figli del fuoco più avanzati stanno esplodendo. Ci stanno attaccando!”
—Svar, segnalatore Boros"
Psychotic Fury,DIS,"“Infuriatevi, servi miei. Il nostro antico potere è rinnovato nel sangue.”
—Rakdos"
Brain Pry,DIS,"Per i Rakdos, il divertimento è il saccheggio. Il bottino viene solitamente abbandonato."
Enemy of the Guildpact,DIS,Le gilde spesso sterminano coloro che hanno visto o che sanno troppo. Alcune anime vendicative mantengono la propria conoscenza e la utilizzano dopo la morte per schiacciare le gilde e i vili accordi che danno loro il potere.
