"Molimo, Maro-Sorcerer","Молимо, Маро-Волшебник",Легендарное Существо —  Элементаль,"Пробивной удар #(Если это существо нанесло достаточно боевых повреждений, чтобы уничтожить блокирующие его существа, вы можете нанести оставшиеся повреждения защищающемуся игроку.)#
Сила и выносливость Молимо, Маро-Волшебника равны количеству земель под вашим контролем."
Reya Dawnbringer,"Рея, Приносящая Рассвет",Легендарное Существо —  Ангел,"Полет #(Это существо может быть заблокировано только существом с Полетом или Захватом.)#
В начале вашего шага поддержки вы можете вернуть целевую карту существа из вашего кладбища в игру."
"Kamahl, Pit Fighter","Камаль, Боец Ямы",Легендарное Существо —  Человек Варвар,"Ускорение #(Это существо может атаковать и {T}, как только оно попадает под ваш контроль.)#
{T}: Камаль, Боец Ямы наносит 3 повреждения целевому существу или игроку."
"Mirri, Cat Warrior","Мирри, Кошка-Воин",Легендарное Существо —  Кошка Воин,"Первый удар, Знание Лесов, Бдительность #(Это существо наносит боевые повреждения раньше существ без Первого удара, оно не может быть заблокировано, пока защищающийся игрок контролирует Лес, и при нападении это существо не поворачивается.)#"
Arcanis the Omnipotent,Арканис Всемогущий,Легендарное Существо —  Чародей,"{T}: Возьмите три карты.
{2}{U}{U}: Верните Арканиса Всемогущего в руку его владельца."
Phage the Untouchable,Фейдж Неприкасаемая,Легендарное Существо —  Приспешник,"Когда Фейдж Неприкасаемая входит в игру, если вы разыграли ее не из вашей руки, вы проигрываете партию.
Каждый раз, когда Фейдж наносит боевые повреждения существу, уничтожьте то существо. Оно не может быть регенерировано.
Каждый раз, когда Фейдж наносит боевые повреждения игроку, тот игрок проигрывает партию."
Forbidding Watchtower,Неприступная Сторожевая Башня,Земля,"Неприступная Сторожевая Башня входит в игру повернутой.
{T}: Добавьте {W} в ваше хранилище маны.
{1}{W}: Неприступная Сторожевая Башня становится существом 1/5 белый Солдат до конца хода. При этом она остается землей."
Treetop Village,Селение Верхолазов,Земля,"Селение Верхолазов входит в игру повернутым.
{T}: Добавьте {G} в ваше хранилище маны.
{1}{G}: Селение Верхолазов становится существом 3/3 зеленая Обезьяна с Пробивным ударом до конца хода. При этом оно остается землей. #(Если оно нанесло достаточно боевых повреждений, чтобы уничтожить блокирующие его существа, вы можете нанести оставшиеся повреждения защищающемуся игроку.)#"
"Squee, Goblin Nabob","Скви, Гоблин-Набоб",Легендарное Существо —  Гоблин,"В начале вашего шага поддержки вы можете вернуть Скви, Гоблина-Набоба из вашего кладбища в вашу руку."
Jayemdae Tome,Том Джейэмди,Артефакт,"{4}, {T}: Возьмите карту."
Rhox,Рокс,Существо —  Зверь,"Вы можете заставить Рокса нанести боевые повреждения защищающемуся игроку, как если бы Рокс не был заблокирован.
{2}{G}: Регенерируйте Рокса. #(В следующий раз при уничтожении этого существа в этом ходу, оно не уничтожается. Вместо этого поверните его, снимите с него все повреждения и выведите его из боя.)#"
Ascendant Evincar,Правящий Эвинкар,Легендарное Существо —  Вампир,"Полет #(Это существо может быть заблокировано только существом с Полетом или Захватом.)#
Другие черные существа получают +1/+1.
Нечерные существа получают -1/-1."
Faerie Conclave,Конклав Фей,Земля,"Конклав Фей входит в игру повернутым.
{T}: Добавьте {U} в ваше хранилище маны.
{1}{U}: Конклав Фей становится существом 2/1 синяя Фея с Полетом до конца хода. При этом он остается землей. #(Он может быть заблокирован только существом с Полетом или Захватом.)#"
